day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2019-12-08,45,2404938,453079,740964,43652,3462261.16,"{""direct"":436789,""email"":14,""organic"":186310,""paid_search"":260791}"
2020-03-25,45,775753,146207,212606,5272,436249.94,"{""direct"":129562,""email"":11,""organic"":52096,""paid_search"":70793}"
2020-04-29,45,1346301,245791,324441,5181,437748.46,"{""direct"":226589,""email"":221,""organic"":74755,""paid_search"":113165}"
2020-02-18,45,1095378,240947,339502,29005,1344513.33,"{""direct"":213554,""email"":104,""organic"":86612,""paid_search"":93996}"
2020-05-13,45,1260089,265879,314191,31131,1783718.62,"{""direct"":186671,""email"":125,""organic"":80744,""paid_search"":117106}"
2019-11-25,45,2696091,553076,776696,47237,3830279.66,"{""direct"":426070,""email"":29,""organic"":173117,""paid_search"":282254}"
2019-06-30,45,1480885,275168,448392,30801,1724728.33,"{""direct"":323239,""email"":11,""organic"":74068,""paid_search"":121046}"
2019-12-15,45,2425697,448198,726734,59669,4214791.75,"{""direct"":482706,""email"":91,""organic"":181247,""paid_search"":249911}"
2019-09-18,45,736827,165461,239476,16723,835708.87,"{""direct"":134668,""email"":11,""organic"":45888,""paid_search"":71573}"
2019-10-06,45,1131404,208640,351417,15273,1096858.47,"{""direct"":229812,""email"":29,""organic"":60559,""paid_search"":114554}"
2019-11-09,45,1790581,346246,551845,78460,4954684.33,"{""direct"":333682,""email"":38,""organic"":131164,""paid_search"":162531}"
2019-07-09,45,906550,163990,262564,76339,4054332.25,"{""direct"":196998,""email"":27,""organic"":44271,""paid_search"":78719}"
2019-10-28,45,1014769,220622,326712,29652,1556595.06,"{""direct"":169291,""email"":59,""organic"":84333,""paid_search"":98606}"
2019-11-24,45,3235809,637691,950921,16434,1401850.04,"{""direct"":567302,""email"":17,""organic"":181073,""paid_search"":324313}"
2019-05-20,45,1105232,273040,327872,63345,4366456.93,"{""direct"":175905,""email"":32,""organic"":87391,""paid_search"":99911}"
2019-12-14,45,1965976,420920,586643,104258,7086721.64,"{""direct"":317382,""email"":950,""organic"":153757,""paid_search"":212170}"
2019-06-18,45,1229364,323531,364455,58053,4220190.13,"{""direct"":234384,""email"":26,""organic"":70119,""paid_search"":89413}"
2020-04-02,45,1068482,186490,256372,4258,274455.62,"{""direct"":159317,""email"":18,""organic"":63903,""paid_search"":95762}"
2020-02-26,45,1029849,208881,326480,29856,1379237.27,"{""direct"":202001,""email"":14,""organic"":81649,""paid_search"":83233}"
2019-10-17,45,1063476,224674,320991,24362,1529944.52,"{""direct"":197890,""email"":24,""organic"":70586,""paid_search"":96320}"
2019-11-02,45,996741,220331,340960,52576,3002606.19,"{""direct"":164779,""email"":87,""organic"":91634,""paid_search"":109702}"
2019-06-07,45,1032848,246628,302100,73166,4479429.89,"{""direct"":180746,""email"":19,""organic"":73924,""paid_search"":92321}"
2020-01-24,45,998517,209135,316885,35512,1784024.44,"{""direct"":189796,""email"":591,""organic"":75730,""paid_search"":92275}"
2020-01-30,45,1136731,222056,348534,31576,1758671.83,"{""direct"":218260,""email"":86,""organic"":82935,""paid_search"":108953}"
2019-05-23,45,994767,259193,304455,78776,5596878.23,"{""direct"":148816,""email"":24,""organic"":82446,""paid_search"":94545}"
2020-02-10,45,1930901,349676,517858,36413,2323973.54,"{""direct"":368341,""email"":81,""organic"":124235,""paid_search"":152968}"
2020-01-22,45,1231885,242338,377038,29267,1500894.93,"{""direct"":260859,""email"":647,""organic"":80244,""paid_search"":107430}"
2020-03-26,45,836193,156273,227908,4030,327171.31,"{""direct"":136645,""email"":17,""organic"":56596,""paid_search"":76888}"
2019-12-06,45,2051548,419790,609249,66285,4762306.52,"{""direct"":382196,""email"":35,""organic"":149080,""paid_search"":192962}"
2019-09-22,45,1076773,212907,354552,7906,467716.75,"{""direct"":243092,""email"":28,""organic"":51122,""paid_search"":100398}"
2019-10-08,45,1577840,324641,437796,25496,1654709.9,"{""direct"":332712,""email"":19,""organic"":64307,""paid_search"":104698}"
